Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Multi-family home for sale,"$247,500","8208 Alix Ave, Los Angeles, CA 90001",8208 Alix Ave,Los Angeles,CA,90001,33.963975,-118.235668,686,null,null,Multiple Occupancy,1911,No Data,null,$361,"$249,231","$2,200/mo",https://www.zillow.com/homedetails/8208-Alix-Ave-Los-Angeles-CA-90001/20942944_zpid/
Multi-family home for sale,"$224,999","25468 Anderson Ave, Barstow, CA 92311",25468 Anderson Ave,Barstow,CA,92311,34.877782,-117.105076,"2,025",null,null,Multiple Occupancy,1959,No Data,null,$111,"$53,858","$1,300/mo",https://www.zillow.com/homedetails/25468-Anderson-Ave-Barstow-CA-92311/17451871_zpid/
Multi-family home for sale,"$350,000","1527 Belle St, San Bernardino, CA 92404",1527 Belle St,San Bernardino,CA,92404,34.127547,-117.279697,"1,968",null,null,Multiple Occupancy,1952,3 spaces,null,$178,"$355,606","$1,200/mo",https://www.zillow.com/homedetails/1527-Belle-St-San-Bernardino-CA-92404/17234127_zpid/
Multi-family home for sale,"$599,000","1919 Oakdale Ave, San Francisco, CA 94124",1919 Oakdale Ave,San Francisco,CA,94124,37.737929,-122.396748,"1,750",null,null,Multiple Occupancy,1900,No Data,null,$342,null,null,https://www.zillow.com/homedetails/1919-Oakdale-Ave-San-Francisco-CA-94124/2077709529_zpid/
Multi-family home for sale,"$189,900","16541 E St, Victorville, CA 92395",16541 E St,Victorville,CA,92395,34.542235,-117.298281,"1,500",null,null,Multiple Occupancy,1946,8 spaces,null,$127,"$190,168","$1,200/mo",https://www.zillow.com/homedetails/16541-E-St-Victorville-CA-92395/17478213_zpid/
Multi-family home for sale,"$4,995,000","154-160 Bennett Ave, Long Beach, CA 90803",154-160 Bennett Ave,Long Beach,CA,90803,33.762902,-118.142646,"7,696",null,null,Multiple Occupancy,1924,7 spaces,null,$649,null,null,https://www.zillow.com/homedetails/154-160-Bennett-Ave-Long-Beach-CA-90803/2079260676_zpid/
Multi-family home for sale,"$828,000","3760-3762 Birch St, Ventura, CA 93003",3760-3762 Birch St,Ventura,CA,93003,34.271046,-119.243274,,null,null,Multiple Occupancy,1958,2 spaces,null,null,null,null,https://www.zillow.com/homedetails/3760-3762-Birch-St-Ventura-CA-93003/2077624979_zpid/
Multi-family home for sale,"$799,000","12659 Sarsaparilla St, San Diego, CA 92129",12659 Sarsaparilla St,San Diego,CA,92129,32.951727,-117.137785,"1,585",null,null,Multiple Occupancy,1987,4 spaces,null,$504,"$726,287","$3,000/mo",https://www.zillow.com/homedetails/12659-Sarsaparilla-St-San-Diego-CA-92129/52511514_zpid/
Multi-family home for sale,"$125,000","68825 Michael Way, Twentynine Palms, CA 92277",68825 Michael Way,Twentynine Palms,CA,92277,34.181466,-116.160959,408,null,null,Multiple Occupancy,1959,4 spaces,null,$306,"$56,020",$900/mo,https://www.zillow.com/homedetails/68825-Michael-Way-Twentynine-Palms-CA-92277/299170144_zpid/
For sale by owner,"$399,999","1988 Arnold Way, Alpine, CA 91901",1988 Arnold Way,Alpine,CA,91901,32.836464,-116.772719,"1,422",null,null,Multiple Occupancy,1985,2 spaces,null,$281,"$365,222","$2,400/mo",https://www.zillow.com/homedetails/1988-Arnold-Way-Alpine-CA-91901/16903710_zpid/
Multi-family home for sale,"$849,000","4212 36th St, San Diego, CA 92104",4212 36th St,San Diego,CA,92104,32.753532,-117.11596,,null,null,Multiple Occupancy,1953,No Data,null,null,null,null,https://www.zillow.com/homedetails/4212-36th-St-San-Diego-CA-92104/295352348_zpid/
Multi-family home for sale,"$559,900","2810 Fairmount St, Los Angeles, CA 90033",2810 Fairmount St,Los Angeles,CA,90033,34.049255,-118.198192,"1,428",null,null,Multiple Occupancy,1924,No Data,null,$392,"$559,904","$2,200/mo",https://www.zillow.com/homedetails/2810-Fairmount-St-Los-Angeles-CA-90033/20630492_zpid/
Multi-family home for sale,"$795,000","2952 W Avenue 34, Los Angeles, CA 90065",2952 W Avenue 34,Los Angeles,CA,90065,34.117079,-118.238664,"1,328",null,null,Multiple Occupancy,1930,2 spaces,null,$599,"$801,543","$2,800/mo",https://www.zillow.com/homedetails/2952-W-Avenue-34-Los-Angeles-CA-90065/20758424_zpid/
Multi-family home for sale,"$499,000","5106 Woodlawn Ave, Los Angeles, CA 90011",5106 Woodlawn Ave,Los Angeles,CA,90011,33.996262,-118.272534,"1,864",null,null,Multiple Occupancy,1895,3 spaces,null,$268,"$494,504","$2,500/mo",https://www.zillow.com/homedetails/5106-Woodlawn-Ave-Los-Angeles-CA-90011/20616575_zpid/
Multi-family home for sale,"$930,000","1846 W 25th St, Los Angeles, CA 90018",1846 W 25th St,Los Angeles,CA,90018,34.033382,-118.304595,"2,423",null,null,Multiple Occupancy,1914,6 spaces,null,$384,"$911,371","$2,500/mo",https://www.zillow.com/homedetails/1846-W-25th-St-Los-Angeles-CA-90018/20594712_zpid/
Multi-family home for sale,"$759,000","1884 N 5th St, Concord, CA 94519",1884 N 5th St,Concord,CA,94519,37.980515,-122.019617,"1,284",null,null,Multiple Occupancy,1930,No Data,null,$591,null,null,https://www.zillow.com/homedetails/1884-N-5th-St-Concord-CA-94519/18346772_zpid/
Multi-family home for sale,"$589,900","1401 Clela Ave, Los Angeles, CA 90022",1401 Clela Ave,Los Angeles,CA,90022,34.013666,-118.162968,"1,739",null,null,Multiple Occupancy,1946,2 spaces,null,$339,"$644,170","$2,337/mo",https://www.zillow.com/homedetails/1401-Clela-Ave-Los-Angeles-CA-90022/20655135_zpid/
Multi-family home for sale,"$1,800,000","821 Milwood Ave, Venice, CA 90291",821 Milwood Ave,Venice,CA,90291,33.994924,-118.461958,"2,028",null,null,Multiple Occupancy,1913,2 spaces,null,$888,"$2,425,821","$4,600/mo",https://www.zillow.com/homedetails/821-Milwood-Ave-Venice-CA-90291/20451856_zpid/
For sale by owner,"$2,300,000","741 Muskingum Ave, Pacific Palisades, CA 90272",741 Muskingum Ave,Pacific Palisades,CA,90272,34.048428,-118.536319,"1,110",null,null,Multiple Occupancy,1951,1 space,null,"$2,072","$2,994,414","$6,500/mo",https://www.zillow.com/homedetails/741-Muskingum-Ave-Pacific-Palisades-CA-90272/20541792_zpid/
Multi-family home for sale,"$875,000","2526 S Dunsmuir Ave, Los Angeles, CA 90016",2526 S Dunsmuir Ave,Los Angeles,CA,90016,34.033313,-118.358851,"2,112",null,null,Multiple Occupancy,1924,3 spaces,null,$414,"$999,257","$3,000/mo",https://www.zillow.com/homedetails/2526-S-Dunsmuir-Ave-Los-Angeles-CA-90016/20584835_zpid/
Multi-family home for sale,"$1,750,000","1032 W Edgeware Rd, Los Angeles, CA 90026",1032 W Edgeware Rd,Los Angeles,CA,90026,34.07179,-118.254752,"3,051",null,null,Multiple Occupancy,1992,3 spaces,null,$574,"$1,037,683","$3,000/mo",https://www.zillow.com/homedetails/1032-W-Edgeware-Rd-Los-Angeles-CA-90026/20740102_zpid/
Multi-family home for sale,"$150,000","1927 Lake St, Bakersfield, CA 93305",1927 Lake St,Bakersfield,CA,93305,35.374946,-118.972194,"1,844",null,null,Multiple Occupancy,1925,2 spaces,null,$81,"$239,907","$1,225/mo",https://www.zillow.com/homedetails/1927-Lake-St-Bakersfield-CA-93305/18936541_zpid/
